u,u_e,mu,p_e,delta,y
0.4,0.05,0.1,0.05,0.5,0.04213296398891967
0.4,0.05,0.1,0.1,0.2,0.15126543209876542
0.4,0.05,0.1,0.1,0.4,0.1379320987654321
0.4,0.05,0.1,0.1,0.5,0.0544753086419753
0.4,0.05,0.1,0.2,0.0,0.31203125
0.4,0.05,0.1,0.2,0.4,0.07062500000000001
0.4,0.05,0.1,0.2,0.5,0.13378906250000003
0.4,0.05,0.1,0.3,0.0,0.06744897959183674
0.4,0.05,0.1,0.3,0.2,0.11270408163265304
0.4,0.05,0.1,0.3,0.4,0.05224489795918367
0.4,0.05,0.1,0.3,0.5,0.18367346938775508
0.4,0.05,0.2,0.05,0.0,0.20889196675900273
0.4,0.05,0.2,0.05,0.2,0.29963988919667595
0.4,0.05,0.2,0.05,0.4,0.12808864265927977
0.4,0.05,0.2,0.05,0.5,0.023545706371191136
0.4,0.05,0.2,0.1,0.0,0.1353395061728395
0.4,0.05,0.2,0.1,0.2,0.06623456790123458
0.4,0.05,0.2,0.1,0.4,0.20669753086419754
0.4,0.05,0.2,0.1,0.5,0.16209876543209878
0.4,0.05,0.2,0.2,0.0,0.06953125
0.4,0.05,0.2,0.2,0.2,0.12285156250000001
0.4,0.05,0.2,0.2,0.4,0.053476562500000005
0.4,0.05,0.2,0.2,0.5,0.09101562500000002
0.4,0.05,0.2,0.3,0.0,0.12801020408163266
0.4,0.05,0.2,0.3,0.2,0.04000000000000001
0.4,0.05,0.2,0.3,0.4,0.10816326530612246
0.4,0.05,0.2,0.3,0.5,0.04290816326530613
0.4,0.05,0.4,0.05,0.0,0.10074792243767314
0.4,0.05,0.4,0.05,0.2,0.249584487534626
0.4,0.05,0.4,0.05,0.4,0.1314404432132964
0.4,0.05,0.4,0.05,0.5,0.11861495844875347
0.4,0.05,0.4,0.1,0.0,0.1195679012345679
0.4,0.05,0.4,0.1,0.2,0.04336419753086419
0.4,0.05,0.4,0.1,0.4,0.3630864197530865
0.4,0.05,0.4,0.1,0.5,0.09645061728395062
0.4,0.05,0.4,0.2,0.2,0.103203125
0.4,0.05,0.4,0.2,0.4,0.0564453125
0.4,0.05,0.4,0.3,0.0,0.0002551020408163265
0.4,0.05,0.4,0.3,0.2,5.10204081632653e-05
0.4,0.05,0.4,0.3,0.4,0.07780612244897958
0.4,0.05,0.4,0.3,0.5,0.0225
0.4,0.05,0.5,0.05,0.0,0.17853185595567866
0.4,0.05,0.5,0.05,0.2,0.1004432132963989
0.4,0.05,0.5,0.05,0.4,0.11637119113573406
0.4,0.05,0.5,0.05,0.5,0.237590027700831
0.4,0.05,0.5,0.1,0.0,0.04410493827160493
0.4,0.05,0.5,0.1,0.2,0.08805555555555555
